,tag,path,individual,macs,params,mlps,cscore,mambas,maxvits,convs,meco
35,ind_718,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000033/ind_718.yaml,"{'0': 40, '1': 80, '2': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '3': {'block': 'Conv_LSTM', 'ch': 80}, '4': 80, '5': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '6': {'block': 'Conv_LSTM', 'ch': 80}, '7': 94, '8': {'block': 'C2f', 'repeats': 2, 'ch': 94, 'hd': 2}, '9': {'block': 'Conv_LSTM', 'ch': 94}, '10': 117, '11': {'block': 'C2f', 'repeats': 3, 'ch': 117}, '12': {'block': 'Conv_LSTM', 'ch': 117}, '13': {'ch': 117}}",1419590400.0,1167584.0,[          0],0.49162691402265174,[          0],[          0],[          4],15.230587
36,ind_512,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000033/ind_512.yaml,"{'0': 40, '1': 80, '2': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '3': {'block': 'Conv_LSTM', 'ch': 80}, '4': 80, '5': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '6': {'block': 'Conv_LSTM', 'ch': 80}, '7': 94, '8': {'block': 'C2f', 'repeats': 2, 'ch': 94, 'hd': 2}, '9': {'block': 'Conv_LSTM', 'ch': 94}, '10': 117, '11': {'block': 'C2f', 'repeats': 3, 'ch': 117}, '12': {'block': 'Conv_LSTM', 'ch': 117}, '13': {'ch': 117}}",1419590400.0,1167584.0,[          0],0.49162691402265174,[          0],[          0],[          4],15.230587
37,ind_945,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000033/ind_945.yaml,"{'0': 40, '1': 80, '2': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '3': {'block': 'Conv_LSTM', 'ch': 80}, '4': 80, '5': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '6': {'block': 'Conv_LSTM', 'ch': 80}, '7': 94, '8': {'block': 'C2f', 'repeats': 3, 'ch': 94, 'hd': 1}, '9': {'block': 'Conv_LSTM', 'ch': 94}, '10': 94, '11': {'block': 'C2f', 'repeats': 1, 'ch': 94}, '12': {'block': 'Conv_LSTM', 'ch': 94}, '13': {'ch': 94}}",1413903360.0,957560.0,[          0],0.4686691597518739,[          0],[          0],[          4],15.23082
38,ind_1057,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000033/ind_1057.yaml,"{'0': 40, '1': 80, '2': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '3': {'block': 'Conv_LSTM', 'ch': 80}, '4': 80, '5': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '6': {'block': 'Conv_LSTM', 'ch': 80}, '7': 100, '8': {'block': 'C2f', 'repeats': 2, 'ch': 100, 'hd': 2}, '9': {'block': 'Conv_LSTM', 'ch': 100}, '10': 117, '11': {'block': 'C2f', 'repeats': 1, 'ch': 117}, '12': {'block': 'Conv_LSTM', 'ch': 117}, '13': {'ch': 117}}",1420819200.0,1069616.0,[          0],0.42885920983779136,[          0],[          0],[          4],15.229031
39,ind_851,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000033/ind_851.yaml,"{'0': 40, '1': 80, '2': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '3': {'block': 'Conv_LSTM', 'ch': 80}, '4': 80, '5': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '6': {'block': 'Conv_LSTM', 'ch': 80}, '7': 100, '8': {'block': 'C2f', 'repeats': 1, 'ch': 100, 'hd': 2}, '9': {'block': 'Conv_LSTM', 'ch': 100}, '10': 117, '11': {'block': 'C2f', 'repeats': 3, 'ch': 117}, '12': {'block': 'Conv_LSTM', 'ch': 117}, '13': {'ch': 117}}",1414977280.0,1159808.0,[          0],0.24022509285028912,[          0],[          0],[          4],15.225599
40,ind_914,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000033/ind_914.yaml,"{'0': 40, '1': 80, '2': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '3': {'block': 'Conv_LSTM', 'ch': 80}, '4': 80, '5': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '6': {'block': 'Conv_LSTM', 'ch': 80}, '7': 100, '8': {'block': 'C2f', 'repeats': 1, 'ch': 100, 'hd': 2}, '9': {'block': 'Conv_LSTM', 'ch': 100}, '10': 117, '11': {'block': 'C2f', 'repeats': 3, 'ch': 117}, '12': {'block': 'Conv_LSTM', 'ch': 117}, '13': {'ch': 117}}",1414977280.0,1159808.0,[          0],0.24022509285028912,[          0],[          0],[          4],15.225599
41,ind_767,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000033/ind_767.yaml,"{'0': 40, '1': 80, '2': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '3': {'block': 'Conv_LSTM', 'ch': 80}, '4': 80, '5': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '6': {'block': 'Conv_LSTM', 'ch': 80}, '7': 94, '8': {'block': 'C2f', 'repeats': 2, 'ch': 94, 'hd': 2}, '9': {'block': 'Conv_LSTM', 'ch': 94}, '10': 117, '11': {'block': 'C2f', 'repeats': 1, 'ch': 117}, '12': {'block': 'Conv_LSTM', 'ch': 117}, '13': {'ch': 117}}",1407993600.0,1023104.0,[          0],0.21324957705268996,[          0],[          0],[          4],15.225912
42,ind_808,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000033/ind_808.yaml,"{'0': 40, '1': 80, '2': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '3': {'block': 'Conv_LSTM', 'ch': 80}, '4': 80, '5': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '6': {'block': 'Conv_LSTM', 'ch': 80}, '7': 94, '8': {'block': 'C2f', 'repeats': 1, 'ch': 94, 'hd': 2}, '9': {'block': 'Conv_LSTM', 'ch': 94}, '10': 126, '11': {'block': 'C2f', 'repeats': 3, 'ch': 126}, '12': {'block': 'Conv_LSTM', 'ch': 126}, '13': {'ch': 126}}",1409658880.0,1182936.0,[          0],0.14923018466353263,[          0],[          0],[          4],15.224271
43,ind_733,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000033/ind_733.yaml,"{'0': 40, '1': 80, '2': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '3': {'block': 'Conv_LSTM', 'ch': 80}, '4': 80, '5': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '6': {'block': 'Conv_LSTM', 'ch': 80}, '7': 80, '8': {'block': 'C2f', 'repeats': 2, 'ch': 80, 'hd': 2}, '9': {'block': 'Conv_LSTM', 'ch': 80}, '10': 117, '11': {'block': 'C2f', 'repeats': 3, 'ch': 117}, '12': {'block': 'Conv_LSTM', 'ch': 117}, '13': {'ch': 117}}",1396396800.0,1082240.0,[          0],0.07480768334687213,[          0],[          0],[          4],15.224349
44,ind_848,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000033/ind_848.yaml,"{'0': 40, '1': 80, '2': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '3': {'block': 'Conv_LSTM', 'ch': 80}, '4': 80, '5': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '6': {'block': 'Conv_LSTM', 'ch': 80}, '7': 94, '8': {'block': 'C2f', 'repeats': 1, 'ch': 94, 'hd': 2}, '9': {'block': 'Conv_LSTM', 'ch': 94}, '10': 117, '11': {'block': 'C2f', 'repeats': 3, 'ch': 117}, '12': {'block': 'Conv_LSTM', 'ch': 117}, '13': {'ch': 117}}",1404721920.0,1121312.0,[          0],0.06742439190056215,[          0],[          0],[          4],15.223097
45,ind_799,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000033/ind_799.yaml,"{'0': 40, '1': 80, '2': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '3': {'block': 'Conv_LSTM', 'ch': 80}, '4': 80, '5': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '6': {'block': 'Conv_LSTM', 'ch': 80}, '7': 94, '8': {'block': 'C2f', 'repeats': 1, 'ch': 94, 'hd': 2}, '9': {'block': 'Conv_LSTM', 'ch': 94}, '10': 117, '11': {'block': 'C2f', 'repeats': 3, 'ch': 117}, '12': {'block': 'Conv_LSTM', 'ch': 117}, '13': {'ch': 117}}",1404721920.0,1121312.0,[          0],0.06742439190056215,[          0],[          0],[          4],15.223097
