"model","category","data","mac full","param full","mac backbone","param backbone","zen score","az-expressivity","az-progressivity","az-trainability","mAP50-95","meco","mlps","mambas","c2fs","maxvits"
"bench_model_000920.yaml","full heterogeneous","pedro_vtei.yaml",2240969472,4126623,1315140352,765356,101.6224222,52.74317074,-0.615776777,-2.10783787,0.571902068,13.673394,2,1,1,0
"bench_model_000064.yaml","full c2f","pedro_vtei.yaml",2499985920,8694083,595552000,1539136,72.57307053,56.60660219,-0.293673754,-1.777354418,0.589848542,14.743571,0,0,4,0
"bench_model_000622.yaml","full heterogeneous","pedro_vtei.yaml",4229093312,9915381,1935502272,1302082,78.91121495,57.04369831,-0.382980347,-1.807641555,0.581970028,14.193179,1,0,2,1
"bench_model_000116.yaml","full c2f","pedro_vtei.yaml",2684692480,9023595,404620800,433336,68.22642303,50.77515697,-0.314201355,-1.47580689,0.589119209,14.648767,0,0,4,0
"bench_model_000230.yaml","full mlp","pedro_vtei.yaml",2396558976,7658143,1178217856,3148028,82.54044855,57.4503901,-0.361062765,-1.674627398,0.588662593,13.845147,4,0,0,0
"bench_model_000510.yaml","full heterogeneous","pedro_vtei.yaml",1112830464,2834395,430338304,410776,49.89687699,50.55898523,-0.431735754,-1.58020826,0.574847407,13.702834,1,1,2,0
"bench_model_000542.yaml","full heterogeneous","pedro_vtei.yaml",2790987520,7406375,1249178880,1690068,37.24630105,58.74034023,-0.407218456,-1.94843494,0.605829113,14.370407,0,1,1,2
"bench_model_000082.yaml","full c2f","pedro_vtei.yaml",1737775360,4885139,532943360,452080,65.31037927,51.76154065,-0.343012333,-1.579348291,0.588209515,14.747738,0,0,4,0
"bench_model_000172.yaml","full mlp","pedro_vtei.yaml",2338103616,5395017,1131840576,965542,74.90227664,53.59523654,-0.37046957,-1.646025106,0.588127871,13.833272,4,0,0,0
"bench_model_000980.yaml","full heterogeneous","pedro_vtei.yaml",1853393152,4647379,921164032,1261536,60.88545108,55.49368095,-0.817049742,-2.242800572,0.601927271,13.842659,1,1,1,1
"bench_model_000236.yaml","full mlp","pedro_vtei.yaml",3135804480,8035865,1914601280,3532918,113.2967224,59.08009434,-0.371083736,-1.894156841,0.587689997,13.918789,4,0,0,0
"bench_model_000912.yaml","full heterogeneous","pedro_vtei.yaml",1306693376,3359155,622355456,929776,77.36575854,51.84467316,-0.679594517,-1.914506566,0.586323168,14.3007965,2,1,1,0
"bench_model_000242.yaml","full mlp","pedro_vtei.yaml",1740622848,5327251,808140288,1929120,89.03458393,55.00429225,-0.389489651,-1.881669379,0.58710059,13.56232,4,0,0,0
"bench_model_000124.yaml","full c2f","pedro_vtei.yaml",2418839040,7993075,521798400,888816,56.28645897,55.64019489,-0.308952808,-1.652033471,0.587090605,14.645285,0,0,4,0
"bench_model_000128.yaml","full mlp","pedro_vtei.yaml",3015420608,9972161,1471300288,4217966,143.8068237,58.26478457,-0.38151598,-2.02465478,0.586945656,13.838602,4,0,0,0
"bench_model_000204.yaml","full mlp","pedro_vtei.yaml",2043186560,4570067,1352279680,2114448,119.47317,55.93077517,-0.387638569,-1.889683753,0.586908549,13.651013,4,0,0,0
"bench_model_000528.yaml","full heterogeneous","pedro_vtei.yaml",2449231040,6381089,918893760,688334,87.09638178,53.5992341,-0.410297394,-1.764876039,0.58079111,14.156316,1,0,3,0
"bench_model_000166.yaml","full mlp","pedro_vtei.yaml",1705047040,5016143,777981440,1641820,105.5937026,53.37971258,-0.378546,-1.877759731,0.586579178,13.5835285,4,0,0,0
